부모ASSY,부모유형,부모품명,자식ASSY(완제품),자식품명,소요량,LG출고최근일,LG출고수량합(25/01~)
ADM72950701,완제품,판형 Assembly,AJR73664801,ADM75404602 내재화 SUB ASSY,1.0,260403,11.0
ADM72950701,완제품,판형 Assembly,AJR73664901,ADM75404602 내재화 SUB ASSY,1.0,260403,11.0
ADM72950701,완제품,판형 Assembly,AJR73665001,ADM75404602 내재화 SUB,1.0,260403,11.0
ADM72950701,완제품,판형 Assembly,AJR73665101,ADM75404602 내재화 SUB ASSY,1.0,260403,11.0
ADM72950701,완제품,판형 Assembly,AJR73665201,ADM75404602 내재화 SUB ASSY,1.0,260403,11.0
ADM72950714,완제품,Exchanger Assembly,AJR73724004,ADM75404604 내재화 SUB ASSY,1.0,260625,473.0
ADM72950714,완제품,Exchanger Assembly,AJR73724103,ADM75404604 내재화 SUB ASSY,1.0,260625,473.0
ADM72950714,완제품,Exchanger Assembly,AJR76563201,ADM75404604 내재화 SUB ASSY,1.0,260625,473.0
ADM72950714,완제품,Exchanger Assembly,AJR76563301,ADM75404604 내재화 SUB ASSY,1.0,260625,473.0
ADM73210506,완제품,판형 Assembly(알파라발),AJR76462607,ADM73210506 SUB(대원직납),1.0,260706,182.0
ADM73210506,완제품,판형 Assembly(알파라발),AJR76462608,ADM73210506 SUB(대원직납),1.0,260706,182.0
ADM73210512,완제품,Exchanger Assembly,ADM73210510,Exchanger Assembly,1.0,260526,510.0
ADM73210512,완제품,Exchanger Assembly,AJR76462903,판형 수배관 SUB,1.0,260526,510.0
ADM73210515,완제품,판형 Assembly(동일),AJR76462631,판형 SUB,1.0,260320,610.0
ADM73210515,완제품,판형 Assembly(동일),AJR76462736,판형 SUB,1.0,260320,610.0
ADM73210515,완제품,판형 Assembly(동일),AJR76462903,판형 수배관 SUB,1.0,260320,610.0
ADM73210516,완제품,Exchanger Assembly,ADM73210510,Exchanger Assembly,1.0,260810,233.0
ADM73210516,완제품,Exchanger Assembly,AJR76462903,판형 수배관 SUB,1.0,260810,233.0
ADM74930502,완제품,판형 Assembly(알파라발),AJR76462605,ADM74930502 SUB,1.0,260630,35.0
ADM74930502,완제품,판형 Assembly(알파라발),AJR76462611,ADM74930502 SUB(대원직납),1.0,260630,35.0
ADM74930507,완제품,Exchanger Assembly,AJR76462903,판형 수배관 SUB,1.0,250522,17.0
ADM74930508,완제품,Exchanger Assembly,ADM74930506,판형 열교환기(스웹),1.0,260703,387.0
ADM74930508,완제품,Exchanger Assembly,AJR76462903,판형 수배관 SUB,1.0,260703,387.0
AET30216901,완제품,"Install Part Assembly, Set",AAA31179501,이지링크 1/4(Ø6.35),30.0,251023,5.0
AET30216902,완제품,"Install Part Assembly, Set",AAA31179502,이지링크 3/8(Ø9.52),30.0,251023,5.0
AET30216903,완제품,"Install Part Assembly, Set",AAA31179503,이지링크 1/2(Ø12.7),30.0,251023,5.0
AET30216904,완제품,"Install Part Assembly, Set",AAA31179504,이지링크 5/8(Ø15.88),30.0,251023,5.0
