품번,거래처,입고수량,사유
MJU62916126,케이비,115262,견적없음(담당필요)
MJU65517914+용접링,미래,82747,견적없음(담당필요)
MJU64433701,이젠터,46363,견적없음(담당필요)
MJU66526615,미래,38781,견적없음(담당필요)
MJU65517915+용접링,미래,37580,견적없음(담당필요)
MJU66980605,케이비,33990,견적없음(담당필요)
AJR76442511-3-1,이젠터,26924,견적없음(담당필요)
MJU64795602,미래,21936,견적없음(담당필요)
MJU66526621,미래,12927,견적없음(담당필요)
MJU66929206,미래,11000,견적없음(담당필요)
AJR30077403-12-1,대원,11000,견적없음(담당필요)
샘플,미래,10309,견적없음(담당필요)
MJU64226616,미래,8622,견적없음(담당필요)
MJU66573401,미래,8016,견적없음(담당필요)
MJU63479101,중앙,7968,견적없음(담당필요)
AJR77224517-3-1,이젠터,7732,견적없음(담당필요)
MJU64095003,중앙,7547,견적없음(담당필요)
MJU65517916+용접링,미래,7524,견적없음(담당필요)
MJU66503305,케이비,7522,견적없음(담당필요)
MJU65517924+용접링,미래,7519,견적없음(담당필요)
MJU65517925+용접링,미래,7519,견적없음(담당필요)
MJU65517917+용접링,미래,7517,견적없음(담당필요)
MJU65517921+용접링,미래,7516,견적없음(담당필요)
MJU65517919+용접링,미래,7516,견적없음(담당필요)
MJU65517922+용접링,미래,7516,견적없음(담당필요)
MJU65517918+용접링,미래,7516,견적없음(담당필요)
MJU63691214,미래,7133,견적없음(담당필요)
MJU66929204,미래,7000,견적없음(담당필요)
MJU62916125,케이비,6196,견적없음(담당필요)
AJR30089612-4-2,미래,6096,견적없음(담당필요)
MJU66980604,케이비,5987,견적없음(담당필요)
MJU62916124,케이비,5961,견적없음(담당필요)
MJU66980603,케이비,5905,견적없음(담당필요)
샘플,이젠터,5360,견적없음(담당필요)
MJU66571203,케이비,5138,견적없음(담당필요)
MJU64095004,중앙,5032,견적없음(담당필요)
MJU63058303,케이비,5008,견적없음(담당필요)
MJU64712401,미래,4914,견적없음(담당필요)
AJR77225303-1-1(링),중앙,4711,견적없음(담당필요)
AJR77225303-1-2(링),중앙,4603,견적없음(담당필요)
AJR30089615-4-2,미래,4588,견적없음(담당필요)
AJR30089615-4-4,미래,4588,견적없음(담당필요)
MJU66960902,미래,4588,견적없음(담당필요)
AJR30089615-4-3,미래,4588,견적없음(담당필요)
AJR77226302-4-1,미래,4501,견적없음(담당필요)
MJU66526618,미래,4312,견적없음(담당필요)
MJU66526619,미래,4309,견적없음(담당필요)
MJU66526616,미래,4309,견적없음(담당필요)
MJU66526617,미래,4309,견적없음(담당필요)
MJU66845511,명진,4296,견적없음(담당필요)
MJU66845512,명진,4296,견적없음(담당필요)
MJU66845513,명진,4296,견적없음(담당필요)
MJU66572903,미래,3966,견적없음(담당필요)
AJR30089611-4-1,미래,3927,견적없음(담당필요)
단품,미래,3860,견적없음(담당필요)
AJR30089608-4-3,미래,3734,견적없음(담당필요)
AJR30089608-4-2,미래,3733,견적없음(담당필요)
AJR30089608-4-4,미래,3733,견적없음(담당필요)
MJU63669615,중앙,3710,견적없음(담당필요)
MJU65486405,미래,3704,견적없음(담당필요)
MJU64961303,케이비,3612,견적없음(담당필요)
MJU63617901,미래,3497,견적없음(담당필요)
MJU62916128,케이비,3128,견적없음(담당필요)
MJU66980602,케이비,3073,견적없음(담당필요)
MJU66980606,케이비,3073,견적없음(담당필요)
AJR30089612-4-3,미래,3049,견적없음(담당필요)
AJR30089612-4-5,미래,3048,견적없음(담당필요)
AJR30089612-4-4,미래,3048,견적없음(담당필요)
AJR74424616,중앙,2977,견적없음(담당필요)
MJU62916127,케이비,2947,견적없음(담당필요)
MJU62916122,케이비,2930,견적없음(담당필요)
MJU67035301,미래,2782,견적없음(담당필요)
MJU62916123,케이비,2780,견적없음(담당필요)
MJU66902803,미래,2758,견적없음(담당필요)
단품,케이비,2728,견적없음(담당필요)
MJU00777501,세광,2650,견적없음(담당필요)
MJU66960903,미래,2649,견적없음(담당필요)
샘플,썬텍,2611,견적없음(담당필요)
AJR30089614-4-2,미래,2547,견적없음(담당필요)
AJR30089614-4-3,미래,2547,견적없음(담당필요)
AJR74522902-3-1,이젠터,2503,견적없음(담당필요)
AJR30089609-4-5,미래,2503,견적없음(담당필요)
AJR30089609-4-3,미래,2502,견적없음(담당필요)
AJR30089609-4-4,미래,2502,견적없음(담당필요)
AJR30089609-4-2,미래,2502,견적없음(담당필요)
MJU65787709,미래,2399,견적없음(담당필요)
MJU64095002,미래,2172,견적없음(담당필요)
MJU64095001,미래,2172,견적없음(담당필요)
AJR30089616-4-2,미래,2141,견적없음(담당필요)
AJR30089616-4-3,미래,2141,견적없음(담당필요)
AJR30089616-4-4,미래,2140,견적없음(담당필요)
MJU66571201,미래,2076,견적없음(담당필요)
MJU65517901+용접링,미래,2068,견적없음(담당필요)
MJU00777605,세광,2028,견적없음(담당필요)
MJU00777604,세광,2028,견적없음(담당필요)
AJR30107701-3-1,이젠터,1909,견적없음(담당필요)
AJR30089619-1-1(링),중앙,1848,견적없음(담당필요)
AJR30089619-1-3(링),중앙,1848,견적없음(담당필요)
MJU42823701,미래,1765,견적없음(담당필요)
MJU42822901,미래,1765,견적없음(담당필요)
MJU42822201,미래,1765,견적없음(담당필요)
MJU42822701,미래,1765,견적없음(담당필요)
MJU63483406,미래,1700,견적없음(담당필요)
MJU63483408,미래,1700,견적없음(담당필요)
MJU63483902,미래,1700,견적없음(담당필요)
MJU63483407,미래,1700,견적없음(담당필요)
MJU63483405,미래,1700,견적없음(담당필요)
AJR75262808-9-1,미래,1684,견적없음(담당필요)
AJJ73040829-9-1,미래,1684,견적없음(담당필요)
MJU63058301,케이비,1664,견적없음(담당필요)
MJU63058305,케이비,1664,견적없음(담당필요)
MJU63058302,케이비,1652,견적없음(담당필요)
MJU63058304,케이비,1648,견적없음(담당필요)
MJU00777206,대원,1415,견적없음(담당필요)
MJU00777204,대원,1415,견적없음(담당필요)
MJU63482501,중앙,1328,견적없음(담당필요)
